SubjectNum,Walk,WalkNod,WalkShake,WalkSlow,Sit2Stand,Stand2Sit,TUG,PickUp,Reach,Static,ShoeBox,Floor2Turf,Turf2Floor
1,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[17, 18, 19]","[14, 15, 16]","[20, 21, 22]","[23, 25, 27]","[24, 26, 28]","[29, 30, 31]","[35, 36, 37, 38, 42, 43, 44]","[32, 33, 34, 39, 40, 41]",[1],,,
2,"[2, 3, 4, 5, 6, 7, 8]","[12, 13, 14]","[9, 10, 11]","[15, 16, 17]","[18, 20, 22]","[19, 21, 23]","[24, 25, 26]","[30, 31, 32]","[27, 28, 29]",[1],,,
3,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[18, 19, 20]","[15, 16, 17]","[21, 22, 23]","[24, 26, 28]","[25, 27, 29]","[30, 31, 32, 33]","[37, 38, 39]","[34, 35, 36]",[4],,,
4,"[2, 3, 4, 5, 6]","[13, 14, 15]","[10, 11, 12]","[16, 17, 18]","[19, 21, 23]","[20, 22, 24]","[25, 26, 27]","[31, 32, 33]","[28, 29, 30]","[1, 2]",,,
5,"[2, 3, 4, 5, 6, 7]","[10, 11, 12]","[8, 9]","[13, 14, 15]","[16, 18, 20]","[17, 19, 21]","[22, 23, 24]","[28, 29, 30]","[25, 26, 27]",[1],,,
6,"[3, 4, 6, 7, 8, 9, 10]","[14, 15, 16]","[11, 12, 13]","[17, 18, 19]","[20, 24]","[21, 22, 23, 25]","[26, 27, 28]","[32, 33, 34]","[29, 30, 31]",[2],,,
7,"[2, 3, 4, 5, 6, 7, 8, 9]","[13, 14, 15]","[10, 11, 12]","[16, 17, 18]","[19, 21, 23]","[20, 22, 24]","[25, 26, 27]","[31, 32, 33]","[28, 29, 30]",[1],,,
8,"[2, 3, 4, 5, 6, 7, 8, 9]","[13, 14, 15, 16, 17, 18]","[10, 11, 12]","[16, 17, 18]","[19, 21, 23]","[20, 22, 24]","[25, 26, 27]","[31, 32, 33, 34]","[28, 29, 30]",[1],,,
9,"[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[17, 18, 19]","[14, 15, 16]","[20, 21, 22]","[23, 25, 27]","[24, 26, 28]","[29, 30, 31]","[35, 36, 37]","[32, 33, 34]",[2],,,
10,"[3, 4, 5, 6, 7, 8, 9, 10]","[14, 15, 16]","[11, 12, 13]","[17, 18, 19]","[20, 22, 24]","[21, 23, 25]","[26, 27, 28]","[32, 33, 34]","[29, 30, 31]",[2],,,
11,"[3, 4, 5, 6, 7, 8, 9, 10, 11]","[15, 16, 17]","[12, 13, 14]","[18, 19, 20]","[21, 23, 25]","[22, 24, 26]","[27, 28, 29]","[34, 35, 36]","[30, 31, 32, 33]",[2],,,
