AccXWrist,AccYWrist,AccZWrist,GyroXWrist,GyroYWrist,GyroZWrist,AccXShank,AccYShank,AccZShank,GyroXShank,GyroYShank,GyroZShank,asisDataLX,asisDataLY,asisDataLZ,asisDataRX,asisDataRY,asisDataRZ,psisDataLX,psisDataLY,psisDataLZ,psisDataRX,psisDataRY,psisDataRZ,thighDataLX,thighDataLY,thighDataLZ,thighDataRX,thighDataRY,thighDataRZ,kneeDataLX,kneeDataLY,kneeDataLZ,kneeDataRX,kneeDataRY,kneeDataRZ,heelDataLX,heelDataLY,heelDataLZ,heelDataRX,heelDataRY,heelDataRZ,tibDataLX,tibDataLY,tibDataLZ,tibDataRX,tibDataRY,tibDataRZ,ankDataLX,ankDataLY,ankDataLZ,ankDataRX,ankDataRY,ankDataRZ,toeDataLX,toeDataLY,toeDataLZ,toeDataRX,toeDataRY,toeDataRZ,FP1X,FP1Y,FP1Z,FP2X,FP2Y,FP2Z
-1.9355037,1.7726226,9.3364,0.06606816,0.07237734,0.34865332,0.53303677,1.4552581,9.722094,-0.11069384,0.0018849964,-0.028604269,396.58,919.3119,904.6258,405.4687,575.41034,937.0375,144.73087,796.74054,1009.1603,145.98161,695.10004,1013.6609,0.0,0.0,0.0,0.0,0.0,0.0,310.89328,933.27545,466.84555,332.01938,561.18933,481.04398,198.43843,864.3667,38.19288,211.65817,616.291,45.12859,268.60504,962.05347,277.22617,267.92514,549.8896,230.63242,238.94786,903.49884,71.90593,249.93492,577.4807,72.722404,390.45505,932.3674,38.74,409.56586,576.05664,36.99976,-0.0,-0.0,-0.0,-8.060494,-6.6447086,-941.5022
-1.9278814,1.7611052,9.338437,0.067169555,0.07362238,0.35039306,0.57777274,1.5293695,9.748516,-0.10871049,0.0014867174,-0.0274927,396.56784,919.30347,904.67035,405.4917,575.37177,937.09467,144.91487,796.72656,1009.07135,145.94948,695.0574,1013.6737,0.0,0.0,0.0,0.0,0.0,0.0,310.918,933.262,466.8635,331.9526,561.2023,481.1367,198.45518,864.40375,38.24964,211.52927,616.19495,44.988857,268.62604,962.05914,277.23074,267.90607,549.93146,230.62193,238.93483,903.4966,71.902435,249.97346,577.5414,72.68502,390.45288,932.3357,38.728046,409.51215,576.2749,37.24119,-0.0,-0.0,-0.0,-7.720736,-7.531414,-940.999
-1.9412819,1.7705735,9.358082,0.07180478,0.07580287,0.3529271,0.55111015,1.5114536,9.755465,-0.10963326,0.0022024799,-0.026536139,396.58148,919.297,904.682,405.3928,575.3708,937.1329,145.15851,796.6586,1008.759,145.95517,695.0653,1013.6654,0.0,0.0,0.0,0.0,0.0,0.0,310.88293,933.26385,466.8407,331.8113,561.0502,481.08087,198.32956,864.28204,38.272472,211.5171,616.2889,45.175144,268.6198,962.0629,277.22083,267.93082,549.9663,230.65608,238.93213,903.4739,71.88703,249.90826,577.4375,72.706184,390.48883,932.36163,38.721375,409.55038,576.2098,37.209496,-0.0,-0.0,-0.0,-6.7448444,-7.532619,-940.41003
-1.934869,1.7800366,9.360402,0.074044965,0.080314755,0.35561943,0.5288843,1.5180464,9.747656,-0.104764625,-0.0004793791,-0.022997139,396.52924,919.2847,904.6209,405.53723,575.1548,937.16724,144.72495,796.7342,1009.11896,145.91867,695.0644,1013.6649,0.0,0.0,0.0,0.0,0.0,0.0,310.89297,933.26746,466.85742,331.9798,561.19806,481.03946,198.46161,864.3154,38.190445,211.51819,616.26154,45.07033,268.59863,962.0593,277.21164,267.9544,549.9633,230.65454,238.95894,903.49286,71.89053,249.91965,577.49207,72.67512,390.46567,932.3742,38.751846,409.3774,576.49884,37.65845,-0.0,-0.0,-0.0,-8.211201,-7.3185573,-939.9842
-1.9345102,1.7846067,9.369058,0.07580248,0.0819285,0.35885504,0.5984339,1.4845494,9.786558,-0.104452424,-0.0041877893,-0.025971029,396.5032,919.28326,904.6734,405.40842,575.5051,937.0733,144.91579,796.7493,1009.0786,145.91806,695.034,1013.6767,0.0,0.0,0.0,0.0,0.0,0.0,310.90167,933.2382,466.86978,331.90887,561.16766,481.0864,198.45184,864.33203,38.203133,211.44911,616.27673,45.19563,268.61792,962.00354,277.23212,268.0041,549.95276,230.61061,238.937,903.46985,71.89108,249.98773,577.54474,72.611786,390.43262,932.40027,38.799698,409.5023,576.2207,37.320564,-0.0,-0.0,-0.0,-6.9199247,-7.426054,-940.3327
-1.9251971,1.7924187,9.368157,0.076721534,0.084078476,0.3621974,0.5410988,1.465924,9.767922,-0.10519537,-0.0030467643,-0.027932437,396.48514,919.2728,904.68616,405.4393,575.3487,937.12555,145.05362,796.60504,1008.82465,145.91878,695.0565,1013.6475,0.0,0.0,0.0,0.0,0.0,0.0,310.8794,933.24133,466.8577,332.03165,561.23157,481.01422,198.4459,864.3305,38.194965,211.73929,615.67694,45.464024,268.63196,961.96466,277.22156,267.96515,549.93744,230.6059,238.96016,903.4912,71.89789,249.90384,577.45087,72.6602,390.44843,932.35205,38.750523,409.4339,576.4833,37.678337,-0.0,-0.0,-0.0,-7.2921095,-6.525262,-940.0581
-1.9097351,1.7994635,9.381737,0.082882494,0.086339004,0.36419278,0.5340523,1.4530305,9.763962,-0.107456855,-0.0042106053,-0.02975048,396.4483,919.27094,904.6806,405.4245,575.0837,937.1923,144.97115,796.5964,1008.8982,145.894,695.03064,1013.6694,0.0,0.0,0.0,0.0,0.0,0.0,310.87433,933.22974,466.86377,331.99023,561.17065,481.12347,198.46259,864.30927,38.191402,211.62509,616.18396,45.19344,268.63168,961.9553,277.2138,267.96042,549.9027,230.55281,238.94046,903.4693,71.8947,249.89586,577.38306,72.662605,390.40784,932.2679,38.749775,409.52252,576.2992,37.313774,-0.0,-0.0,-0.0,-7.754126,-6.435436,-941.15546
-1.894778,1.7997197,9.359875,0.08245445,0.0892685,0.36378178,0.5370443,1.4764562,9.746166,-0.10542716,-0.0019407609,-0.025393084,396.4461,919.2734,904.68665,405.39545,575.40216,937.0958,145.05437,796.5871,1008.9207,145.84912,695.0093,1013.6755,0.0,0.0,0.0,0.0,0.0,0.0,310.8547,933.20654,466.8659,332.05194,561.1893,481.16824,198.42313,864.2187,38.141693,211.50209,616.14233,45.27637,268.63275,961.9167,277.18658,267.9488,549.8939,230.5605,239.00687,903.47296,71.86345,249.89378,577.437,72.65233,390.4119,932.3072,38.713104,409.57245,576.21674,37.296284,-0.0,-0.0,-0.0,-8.802885,-5.421059,-942.1045
-1.8917701,1.7985641,9.353904,0.0840929,0.09139175,0.36022538,0.59171724,1.5046669,9.766963,-0.10795125,-3.9877832e-05,-0.028877735,396.42688,919.29736,904.68414,405.46472,575.1669,937.20703,145.05453,796.52374,1008.85876,145.8726,694.9871,1013.6528,0.0,0.0,0.0,0.0,0.0,0.0,310.87494,933.2037,466.8624,332.04828,561.14734,481.0677,198.47354,864.2789,38.125362,211.46753,616.14966,45.340115,268.62906,961.89136,277.16684,267.9296,549.8896,230.57716,238.9983,903.4857,71.86417,249.94527,577.4489,72.60438,390.45343,932.2587,38.69907,409.4364,576.46844,37.65513,-0.0,-0.0,-0.0,-8.738289,-5.8060107,-940.9513
-1.9027314,1.78752,9.3496895,0.08521062,0.09204344,0.35696793,0.55727565,1.4998748,9.760638,-0.109818615,-0.0041231946,-0.026027005,396.40018,919.2767,904.7138,405.46155,575.31494,937.2174,145.015,796.49396,1008.89813,145.84145,694.9719,1013.6542,0.0,0.0,0.0,0.0,0.0,0.0,310.847,933.18884,466.8559,331.93588,561.1262,481.1106,198.48524,864.2154,38.159725,211.5554,616.0564,45.272194,268.64462,961.8268,277.17172,267.9163,549.84814,230.53862,239.01573,903.46204,71.8492,249.95369,577.4349,72.62799,390.41693,932.2914,38.724705,409.57034,576.2186,37.23401,-0.0,-0.0,-0.0,-7.802827,-6.6021647,-940.70996
-1.8984033,1.7922745,9.324411,0.08529748,0.093358904,0.35391912,0.59269243,1.4799621,9.737874,-0.10656472,-0.0011144663,-0.021875724,396.38608,919.2942,904.7284,405.55862,574.96783,937.3158,144.97267,796.4928,1008.90845,145.82558,694.95013,1013.657,0.0,0.0,0.0,0.0,0.0,0.0,310.8558,933.20544,466.85492,332.1653,561.1391,481.05923,198.404,864.1498,38.18324,211.64853,616.1008,45.23895,268.6346,961.8164,277.1734,267.9557,549.9653,230.55083,239.01202,903.4484,71.84146,250.02475,577.5106,72.54027,390.51077,932.2917,38.7187,409.63153,576.2907,37.365616,-0.0,-0.0,-0.0,-8.055922,-6.504424,-940.46234
-1.8977461,1.8218025,9.316963,0.08259025,0.09519181,0.35210106,0.54965985,1.4716992,9.790057,-0.10489903,0.0020515579,-0.020695405,396.34695,919.29205,904.70953,405.4356,575.1335,937.2274,144.69426,796.48425,1009.13525,145.82715,694.92523,1013.65204,0.0,0.0,0.0,0.0,0.0,0.0,310.83258,933.15936,466.86545,331.87534,561.1002,481.05704,198.438,864.1686,38.185814,211.54402,616.07825,45.23304,268.64304,961.779,277.16437,267.92737,549.89386,230.53209,239.0252,903.4511,71.85195,250.05315,577.55273,72.50179,390.44196,932.30023,38.727745,409.40448,576.4326,37.59455,-0.0,-0.0,-0.0,-8.743948,-6.974717,-940.7445
-1.8989722,1.823509,9.337654,0.081538364,0.09570896,0.34976983,0.5384727,1.5132923,9.783829,-0.104737386,0.0035608718,-0.020055229,396.34634,919.3188,904.7222,405.41312,574.9664,937.264,144.73776,796.47705,1009.1079,145.81851,694.9267,1013.6865,0.0,0.0,0.0,0.0,0.0,0.0,310.8388,933.1652,466.86484,332.07846,561.1884,481.01614,198.46262,864.1131,38.13235,211.50887,615.4951,45.66587,268.64948,961.7572,277.15277,267.9336,549.855,230.44182,239.02567,903.4399,71.85119,250.0112,577.49164,72.597824,390.41602,932.28613,38.761875,409.5437,576.3891,37.57604,-0.0,-0.0,-0.0,-8.127621,-6.4231954,-940.1394
-1.9213265,1.8295223,9.34367,0.08384779,0.09823969,0.34819183,0.5651062,1.4500914,9.793579,-0.10571793,0.00088362745,-0.020123767,396.29755,919.3039,904.75604,405.45645,575.2635,937.17194,144.80878,796.3793,1008.95557,145.82648,694.92175,1013.6604,0.0,0.0,0.0,0.0,0.0,0.0,310.84607,933.19586,466.85144,332.1375,561.151,481.0478,198.52434,864.1618,38.1042,211.54411,615.9494,45.330048,268.64984,961.7366,277.131,268.02377,549.95233,230.42346,239.04797,903.4495,71.8188,249.97687,577.49164,72.536125,390.4536,932.2175,38.730446,409.56924,576.28455,37.38807,-0.0,-0.0,-0.0,-9.898267,-7.5384684,-941.20953
-1.9324224,1.8240308,9.317304,0.08650599,0.100477785,0.34495023,0.57840025,1.5008911,9.752324,-0.10850028,-0.00097023573,-0.020975677,396.3011,919.30914,904.73254,405.4259,575.04565,937.3098,144.80359,796.4393,1009.0319,145.7923,694.89923,1013.67426,0.0,0.0,0.0,0.0,0.0,0.0,310.83215,933.1477,466.85364,331.87393,561.02325,481.05566,198.45296,864.10626,38.110847,211.52855,615.5403,45.63464,268.66638,961.7575,277.11383,267.96707,549.9417,230.508,239.0469,903.4538,71.843834,249.97604,577.46,72.58304,390.46753,932.28204,38.690308,409.46774,576.45123,37.61889,-0.0,-0.0,-0.0,-8.650761,-6.5153303,-941.9554
-1.919869,1.8198828,9.335801,0.08835198,0.09962669,0.34477293,0.57669544,1.4782033,9.744381,-0.105728954,-0.0028292863,-0.0241565,396.23355,919.3286,904.72675,405.4253,575.145,937.242,144.78204,796.4242,1008.997,145.77336,694.8987,1013.6878,0.0,0.0,0.0,0.0,0.0,0.0,310.8281,933.15283,466.85004,332.007,561.0905,481.03976,198.45541,864.13446,38.13844,211.50569,615.5208,45.695507,268.63354,961.7532,277.14978,267.92062,549.9309,230.53452,239.03831,903.45154,71.82495,250.03195,577.4736,72.53788,390.4482,932.27673,38.741894,409.52164,576.4785,37.68959,-0.0,-0.0,-0.0,-9.266177,-5.538266,-942.36084
-1.9151676,1.8109328,9.298616,0.083107345,0.099948846,0.3454597,0.54553044,1.4798964,9.765658,-0.10484971,-0.001740488,-0.021834077,396.22278,919.34705,904.77155,405.4368,575.0981,937.2387,144.82713,796.3785,1008.9135,145.79369,694.8664,1013.67786,0.0,0.0,0.0,0.0,0.0,0.0,310.79126,933.15625,466.84952,331.98715,561.145,481.0973,198.44318,864.1439,38.116398,211.72598,615.4773,45.66121,268.61325,961.7571,277.12546,267.94705,549.9203,230.51913,239.03218,903.45074,71.843445,249.97089,577.4759,72.59024,390.44653,932.2661,38.745365,409.429,576.4124,37.62099,-0.0,-0.0,-0.0,-8.359241,-7.2661057,-941.49054
-1.9269973,1.8143562,9.288086,0.08442735,0.10067012,0.34480292,0.56089884,1.5157925,9.766206,-0.10624918,-0.0011441063,-0.025246764,396.17056,919.3568,904.7849,405.35056,575.09503,937.2689,144.56175,796.38617,1009.0359,145.74992,694.87103,1013.6745,0.0,0.0,0.0,0.0,0.0,0.0,310.7716,933.1692,466.8473,332.09543,561.1111,481.07574,198.51192,864.2472,38.03142,211.67589,615.95593,45.325996,268.65323,961.76996,277.1476,267.91653,549.87244,230.51917,239.02466,903.4388,71.83237,249.9824,577.4543,72.53468,390.44046,932.2497,38.747772,409.35556,576.44904,37.682537,-0.0,-0.0,-0.0,-8.993634,-6.712779,-941.9483
