Frame,Sub Frame,ACCX1,ACCY1,ACCZ1,GYROX1,GYROY1,GYROZ1,ACCX2,ACCY2,ACCZ2,GYROX2,GYROY2,GYROZ2
1,0,8310.23,-3575.61,-4884.14,7.20888,16.7097,-8.6424,-976.803,9722.62,1590.99,6.99804,9.31076,12.1963
1,1,8378.38,-3610.43,-4914.04,7.94099,15.2007,-9.19118,-938.62,9791.02,1595.71,6.82927,9.95398,11.8753
2,0,8495.62,-3661.83,-4961.9,8.38356,14.2695,-9.83123,-963.581,9848.45,1635.16,6.14478,11.1865,11.0535
2,1,8639.24,-3702.58,-5003.82,8.74941,14.3592,-10.2738,-1009.09,9921.45,1614.96,5.869,11.4028,10.5189
3,0,8741.09,-3728.93,-5027.79,9.20653,15.3639,-10.7766,-1088.02,9962.23,1618.45,4.94101,11.9803,9.28602
3,1,8798.61,-3724.2,-5072.03,9.69433,16.629,-11.1428,-1139.58,9969.46,1626.85,4.72541,12.2408,8.49175
4,0,8814.25,-3691.92,-5056.62,10.0909,17.6357,-11.5846,-1217.3,9980.21,1663.89,4.16288,12.2105,6.61962
4,1,8754.53,-3657.2,-5043.39,10.0917,18.8698,-11.9355,-1283.2,10030.4,1686.69,4.10031,12.2408,5.67153
5,0,8719.71,-3652.35,-5013.52,9.96972,19.7549,-12.4685,-1484,9981.57,1718.97,4.23761,11.3891,4.4536
5,1,8671.89,-3649.97,-4942.96,10.0303,20.8061,-12.9414,-1586.07,9920.46,1739.36,4.22266,11.1888,3.76594
6,0,8560.68,-3612.93,-4847.22,10.426,21.5539,-13.4138,-1821.51,9756.7,1725.06,4.66365,10.0331,2.88278
6,1,8460.06,-3543.54,-4778.92,10.6857,21.7986,-13.7191,-1910.54,9681.01,1733.37,4.99961,9.40599,2.66759
7,0,8379.83,-3456.18,-4725.04,10.6861,21.7836,-14.1912,-2040.78,9661.82,1731.02,6.42996,8.23409,3.73248
7,1,8281.71,-3433.29,-4722.54,10.3513,21.677,-14.74,-2079.37,9643.88,1699.95,7.25531,7.72896,4.22227
8,0,8197.87,-3390.28,-4733.32,10.3352,20.825,-15.4256,-2010.08,9721.48,1611.47,8.38197,6.58775,6.32176
8,1,8189.34,-3354.32,-4707.06,10.3202,19.6818,-16.2486,-2001.52,9745.61,1531.21,8.81078,6.12825,7.78795
9,0,8221.63,-3282.59,-4679.51,10.3049,19.2534,-16.7828,-1809.25,9841.16,1459.38,9.024,5.50434,10.2392
9,1,8224.1,-3185.65,-4619.73,10.0767,19.5724,-17.0271,-1728.64,9848.6,1401.89,8.99411,5.57868,11.295
10,0,8218.1,-3081.51,-4533.57,9.26988,20.4253,-17.0732,-1612.74,9840.17,1352.8,8.05077,5.35131,13.319
10,1,8206.15,-3033.5,-4496.34,7.79231,21.629,-16.7537,-1564.63,9840.17,1322.84,7.74391,5.42644,14.2828
11,0,8177.45,-2990.44,-4427.02,6.23724,23.2746,-16.3726,-1446.35,9621.57,1277.39,6.78562,5.30528,15.5311
11,1,8129.6,-2906.72,-4322.91,4.62158,24.6778,-16.0067,-1361.2,9497.91,1289.22,5.96146,5.28954,16.2341
12,0,8059.01,-2846.78,-4245.03,2.06258,26.369,-15.3214,-1248.79,9226.61,1319.16,4.9713,5.71557,17.5279
12,1,8039.73,-2931.49,-4224.58,-0.255679,27.3312,-14.9394,-1209.09,9133.89,1355.06,4.64949,5.57986,18.155
13,0,8104.23,-3078.69,-4316.54,-2.11603,28.2758,-14.6499,-945.08,9160.15,1336.03,3.99529,5.35091,18.5968
13,1,8158.17,-3253.42,-4408.79,-3.0173,29.1755,-14.4819,-828.456,9116.04,1344.31,3.68922,5.44178,18.4914
14,0,8215.6,-3460.47,-4418.52,-3.21637,29.8922,-14.36,-585.888,9148.13,1371.83,2.42646,5.44217,17.4107
14,1,8216.93,-3618.61,-4361.16,-2.86665,30.2892,-14.4205,-511.154,9175.75,1414.9,1.82967,5.3812,16.7994
15,0,8194.19,-3642.8,-4332.33,-2.37884,30.8678,-14.2687,-372.602,9021.69,1487.86,0.855639,5.82218,15.8859
15,1,8184.59,-3614.1,-4343.05,-3.03185,31.4473,-14.0248,-314.861,9011.68,1504.76,0.548781,6.06688,15.4272
16,0,8190.55,-3584.17,-4383.71,-4.15971,32.133,-13.8722,-347.082,8954.47,1700.65,-0.500772,6.18883,14.4076
16,1,8142.79,-3451.51,-4395.75,-5.86584,32.9559,-13.4308,-366.297,8926.79,1709.58,-0.625495,6.26515,13.8116
17,0,8022,-3344.84,-4334.83,-8.94253,33.764,-13.0645,-440.378,8696.24,1812.15,-0.457515,6.46302,12.0311
17,1,7858.05,-3269.4,-4214.01,-11.8706,33.644,-12.4859,-518.228,8568.96,1863.86,-0.289931,6.47876,11.6003
18,0,7757.34,-3025.56,-4216.11,-14.1125,32.3501,-11.4957,-722.645,8548.5,1888.98,0.851284,5.36823,10.6424
18,1,7874.23,-2820.65,-4432.42,-16.5051,31.7231,-10.8088,-778.131,8515.05,1889.04,1.35641,4.72621,10.3049
19,0,7991.69,-2644.68,-4565.6,-18.3662,33.8367,-10.7164,-797.223,8654.71,1915.3,2.58889,2.67194,9.75729
19,1,7936.95,-2478.26,-4555.04,-19.6932,34.9382,-10.6404,-743.532,8737.57,1878.35,3.30724,1.92093,9.20811
20,0,7982.11,-2544.8,-4486.86,-21.9166,33.6464,-10.701,-590.458,9010.01,1780.27,4.05349,0.110565,9.49607
20,1,8074.3,-2684.87,-4431.75,-22.6523,31.6649,-11.4618,-459.873,9180.39,1752.56,3.90323,-0.533438,9.63415
21,0,8308.62,-2798.65,-4373.11,-20.4013,30.9304,-12.4831,-395.121,9383.69,1641.47,3.55233,-1.00511,9.40599
21,1,8605.47,-2871.74,-4464.95,-17.0787,31.812,-13.6109,-329.319,9464.23,1625.62,3.24745,-1.1129,9.60307
22,0,8867.72,-2887.41,-4612.19,-13.4359,33.64,-14.3131,-232.408,9761.73,1528.92,2.44061,-1.96459,9.64949
22,1,9034.29,-2851.57,-4674.62,-10.6747,35.561,-14.5881,-184.4,9916.66,1465.31,2.10386,-2.16483,9.63415
23,0,9173.16,-2835.94,-4711.73,-9.42212,37.0405,-14.8623,-1.57757,10075.7,1384,1.16051,-2.59048,9.40599
23,1,9304.86,-2866.99,-4800.2,-7.97523,38.4276,-14.8021,78.9621,10090.4,1338.41,0.579862,-2.83517,8.96421
24,0,9441.31,-2885,-4912.72,-6.60269,39.6932,-14.2541,154.278,10158.4,1345.51,-0.333586,-2.45516,8.84147
24,1,9501.33,-2887.41,-4995.39,-6.14359,40.4563,-13.9028,220.173,10174.2,1364.66,-0.701022,-2.13454,8.70457
25,0,9466.77,-2912.49,-5006.29,-6.37136,41.203,-13.2939,220.298,10120.4,1373.07,-1.1424,-1.16051,8.97797
25,1,9398.56,-2877.92,-4856.96,-6.91975,41.1287,-12.7447,226.229,10092.8,1381.44,-1.55429,-0.579862,8.9941
26,0,9355.4,-2845.55,-4703.63,-7.48387,39.8958,-12.0287,82.9183,9999.58,1498.52,-1.82887,0.881181,8.96342
26,1,9257.38,-2753.52,-4550.44,-8.30645,37.9151,-11.3729,55.0201,9994.54,1515.58,-1.89024,1.43273,8.78089
27,0,9162.75,-2692.35,-4388.84,-9.72304,35.3702,-11.037,-13.0051,10020.9,1501.18,-1.75335,2.28481,8.81078
27,1,9115.98,-2660,-4154.36,-11.7191,32.6873,-10.93,-117.145,10023.3,1491.6,-1.93548,2.83477,8.70457
28,0,9143.38,-2713.7,-3924.45,-13.5338,30.7801,-10.8234,-236.824,10050.8,1539.36,-1.96656,3.24626,8.06531
28,1,9198.43,-2748.51,-3725.69,-14.4198,30.1833,-10.7471,-192.896,10074.8,1595.65,-1.95122,3.39929,7.82022
29,0,9270.22,-2724.66,-3609.41,-14.6188,30.8521,-10.6861,-253.599,10036.6,1648.32,-1.49489,3.82533,8.12431
29,1,9354.01,-2700.69,-3579.35,-14.7711,32.5578,-10.8076,-296.85,9982.71,1675.91,-1.56963,4.14595,8.23171
30,0,9347.03,-2699.45,-3544.69,-14.8627,34.0984,-10.8993,-473.679,9872.7,1763.15,-0.642418,4.48112,8.41424
30,1,9251.38,-2729.33,-3498.01,-14.9693,36.7329,-11.1884,-563.765,9815.08,1747.86,-0.0310808,4.61881,9.06884
31,0,9165.13,-2781.97,-3485.96,-14.9544,38.8234,-11.3718,-739.451,9677.64,1762.07,1.42996,4.36035,10.181
31,1,9024.01,-2929.02,-3503.88,-14.3458,39.7703,-11.6306,-837.877,9609.18,1768.13,1.93588,4.1314,10.3053
32,0,8936.46,-3116.94,-3549.32,-12.5948,40.3041,-12.1637,-877.421,9600.75,1709.58,3.63964,3.62904,11.476
32,1,8881.38,-3286.98,-3594.82,-10.1566,40.4725,-12.9103,-885.855,9604.33,1683.14,4.29858,3.65814,11.9815
33,0,8889.62,-3324.36,-3677.34,-8.00631,40.3053,-13.8855,-979.027,9659.29,1630.56,5.47009,3.76515,12.286
33,1,8886.1,-3344.65,-3726.52,-6.58735,40.974,-14.6939,-935.099,9731.12,1509.77,5.99056,3.87176,12.5606
34,0,8832.32,-3402.05,-3799.46,-5.00277,41.4933,-15.1975,-913.38,9838.78,1352.99,6.58418,4.17624,12.2113
34,1,8747.36,-3465.51,-3839.06,-2.88475,40.9922,-15.4874,-911.002,9883.23,1315.61,6.95083,4.77026,12.0732
35,0,8728.05,-3495.5,-3863.01,-1.63258,40.0169,-15.7313,-870.378,9995.56,1230.81,7.24036,6.49055,12.1188
35,1,8840.35,-3485.99,-3833.19,-0.444148,38.0221,-16.0665,-882.209,9995.87,1187.56,7.45398,7.46853,12.1798
36,0,8945.79,-3463.25,-3813.98,0.380011,35.9788,-16.5236,-1005.32,10084.2,1179.15,7.68254,10.0861,12.4689
36,1,9158.61,-3439.31,-3732.73,0.913844,34.9859,-16.7376,-1008.04,10182.4,1142.11,7.8808,11.3253,12.8348
37,0,9387.31,-3393.87,-3630.97,1.49292,35.5928,-16.6314,-970.903,10419.1,1133.65,7.78993,14.2927,13.4288
37,1,9550.24,-3373.45,-3505.33,2.05704,36.812,-16.631,-948.135,10459.1,1120.52,7.74391,15.7915,13.8714
38,0,9690.31,-3385.37,-3353.34,2.69709,38.4575,-16.8289,-903.896,10545.1,1101.36,7.8808,19.9457,14.6935
38,1,9793.33,-3393.77,-3295.66,2.77459,40.2714,-17.3466,-858.391,10584.8,1107.3,7.92683,21.8281,15.0303
39,0,9859.23,-3437.98,-3243.05,2.65264,42.5114,-18.002,-772.293,10676.7,1157.5,7.8812,26.8493,15.7911
39,1,9841.44,-3463.19,-3123.46,2.34815,44.8895,-18.6271,-725.49,10714,1140.91,8.09402,29.2514,16.0822
40,0,9784.01,-3473.97,-2952.35,2.02793,45.9442,-19.2825,-625.088,10702.1,1119.31,8.17074,34.3949,16.3257
40,1,9743.26,-3505.05,-2845.64,1.58616,46.5539,-20.0901,-600.929,10690.1,1069.11,8.07947,36.8124,16.585
41,0,9774.24,-3521.86,-2792.91,1.23525,47.7113,-20.8525,-94.475,10720,967.444,7.91188,45.1502,17.4677
41,1,9762.41,-3513.51,-2785.65,0.930372,49.6003,-21.7667,159.036,10781,995.864,7.95712,49.1436,17.4245
42,0,9703.81,-3488.4,-2686.51,0.671127,51.9017,-22.5598,684.861,10704.7,821.63,7.75964,61.5747,17.3627
42,1,9554.35,-3395.16,-2466.43,0.199059,53.5496,-23.3371,855.919,10641.1,778.069,7.72856,67.3438,17.1499
43,0,9456.02,-3290.99,-2321.36,-0.714786,54.2675,-23.8104,1061.39,10361.5,641.956,8.38277,80.4759,15.6129
43,1,9516.78,-3233.44,-2333.06,-0.382381,55.8049,-24.1306,1183.82,10178,547.176,9.05389,89.2585,14.5287
44,0,9589.87,-3125.84,-2478.91,0.410302,59.1098,-24.5268,1366.73,9806.19,291.415,10.8045,104.985,11.9107
44,1,9587.62,-3039.56,-2609.49,0.929187,62.8903,-24.9992,1472.33,9587.81,167.687,11.8434,112.266,10.6869
45,0,9506.34,-2996.4,-2695.75,1.53855,66.1231,-25.6239,1374.52,9223.18,-140.622,15.2978,130.359,6.25928
45,1,9362.78,-3091.89,-2603.93,1.79858,67.6204,-25.9296,1350.3,9044.24,-282.423,16.6762,138.486,4.17821
46,0,9258.52,-3033.66,-2548.67,2.87883,68.1853,-26.5689,1093.52,8806.34,-529.812,20.1451,153.369,0.495304
46,1,9233.25,-2987.99,-2546.23,3.32297,68.9772,-27.2246,980.48,8751.97,-669.048,22.4213,162.491,-1.94846
47,0,9138.87,-3047.68,-2547.43,4.22069,70.987,-27.4237,807.202,8571.64,-886.626,25.9536,177.334,-4.88787
47,1,8971.37,-3076.53,-2547.43,6.83948,72.4068,-27.5303,708.777,8498.24,-977.977,27.4229,183.974,-5.77734
48,0,8850.33,-3050.27,-2558.18,9.58418,72.5461,-27.7892,769.573,8573.47,-1212.18,31.8049,199.526,-6.75098
48,1,8803.53,-3047.8,-2626.3,11.4304,71.4961,-28.3678,802.042,8574.89,-1359.75,33.7793,206.475,-7.34697
49,0,8882.3,-3014.38,-2762.66,12.4681,70.5197,-28.7648,639.608,8713.38,-1584.53,37.7966,219.683,-8.35169
49,1,9004.39,-2980.83,-2912.31,12.6373,70.0767,-28.6133,559.1,8737.69,-1702.17,39.5873,225.819,-8.93234
50,0,9100.22,-3005.85,-2989.08,12.3938,70.4107,-27.9434,238.897,8679.09,-1905.38,42.9504,235.088,-10.074
50,1,9068.16,-3099.12,-2898.41,12.454,70.4119,-27.5158,44.4864,8669.39,-2046.87,44.4807,239.266,-10.655
51,0,9028.58,-3198.5,-2712.96,13.5039,68.7687,-26.9827,-634.259,8786.47,-2266.89,48.011,246.677,-10.6404
51,1,9017.77,-3236.93,-2587.1,15.4843,65.9957,-26.4642,-859.503,8832.19,-2314.03,49.4202,249.435,-10.6098
52,0,9034.48,-3213.08,-2472.21,17.6794,62.5972,-25.8395,-1324.19,9178.63,-2390.43,50.4249,252.129,-7.96304
52,1,9162.35,-3110.27,-2434.92,19.8745,59.0606,-25.1231,-1676.71,9387.46,-2436.06,51.0512,252.76,-6.57121
53,0,9271.4,-2896.18,-2371.59,21.9327,56.2542,-24.2089,-2298.43,9637.39,-2345.33,50.109,251.268,-3.07122
53,1,9251.29,-2612.55,-2222.1,23.1692,53.6019,-23.2333,-2542.52,9786.14,-2291.3,49.3454,250.154,-1.08419
54,0,9161.58,-2333.59,-2006.71,23.2321,50.2801,-22.349,-2522.38,10288.1,-2004.55,45.3742,246.288,6.28046
54,1,9104.02,-2200.41,-1748.2,22.4406,46.5154,-21.4497,-2462.54,10498.5,-1881.9,43.3553,244.513,9.5712
55,0,9157.68,-2096.3,-1533.8,22.4689,43.1759,-20.8545,-2353.7,10841.4,-1553.33,37.862,240.177,16.0842
55,1,9347.8,-1928.83,-1366.15,22.7892,41.6936,-20.4579,-2347.46,10990.5,-1395.93,35.2305,238.461,18.5814
56,0,9554.93,-1738.5,-1233.22,22.9571,40.7789,-19.9552,-2316.48,11043.2,-1063.71,30.2388,234.566,22.3245
56,1,9702.29,-1589.97,-1191.14,22.2577,41.8265,-19.087,-2324.72,11092.3,-864.508,27.8372,232.426,23.9473
